"CountyFIPS","County","Year","Visits"
6001,"Alameda","2005",659
6001,"Alameda","2006",653
6001,"Alameda","2007",666
6001,"Alameda","2008",671
6001,"Alameda","2009",110
6001,"Alameda","2010",670
6001,"Alameda","2011",655
6001,"Alameda","2012",676
6001,"Alameda","2013",680
6001,"Alameda","2014",678
6001,"Alameda","2015",677
6001,"Alameda","2016",651
6001,"Alameda","2017",606
6001,"Alameda","2018",557
6001,"Alameda","2019",551
6005,"Amador","2005",158
6005,"Amador","2006",163
6005,"Amador","2007",168
6005,"Amador","2008",160
6005,"Amador","2009",164
6005,"Amador","2010",169
6005,"Amador","2011",265
6005,"Amador","2012",285
6005,"Amador","2013",281
6005,"Amador","2014",273
6005,"Amador","2015",185
6005,"Amador","2016",181
6005,"Amador","2017",174
6005,"Amador","2018",155
6005,"Amador","2019",170
6007,"Butte","2005",11
6007,"Butte","2006",632
6007,"Butte","2007",634
6007,"Butte","2008",6
6007,"Butte","2009",21
6007,"Butte","2010",31
6007,"Butte","2011",19
6007,"Butte","2012",698
6007,"Butte","2013",703
6007,"Butte","2014",707
6007,"Butte","2015",10
6007,"Butte","2016",582
6007,"Butte","2017",694
6007,"Butte","2018",686
6007,"Butte","2019",576
6009,"Calaveras","2005",184
6009,"Calaveras","2006",186
6009,"Calaveras","2007",179
6009,"Calaveras","2008",264
6009,"Calaveras","2009",167
6009,"Calaveras","2010",262
6009,"Calaveras","2011",271
6009,"Calaveras","2012",173
6009,"Calaveras","2013",270
6009,"Calaveras","2014",263
6009,"Calaveras","2015",179
6009,"Calaveras","2016",172
6009,"Calaveras","2017",186
6009,"Calaveras","2018",181
6009,"Calaveras","2019",187
6011,"Colusa","2005",116
6011,"Colusa","2006",117
6011,"Colusa","2007",527
6011,"Colusa","2008",113
6011,"Colusa","2009",629
6011,"Colusa","2010",622
6011,"Colusa","2011",537
6011,"Colusa","2012",616
6011,"Colusa","2013",591
6011,"Colusa","2014",688
6011,"Colusa","2015",704
6011,"Colusa","2016",539
6011,"Colusa","2017",527
6011,"Colusa","2018",138
6011,"Colusa","2019",115
6013,"Contra Costa","2005",505
6013,"Contra Costa","2006",512
6013,"Contra Costa","2007",504
6013,"Contra Costa","2008",510
6013,"Contra Costa","2009",550
6013,"Contra Costa","2010",552
6013,"Contra Costa","2011",556
6013,"Contra Costa","2012",561
6013,"Contra Costa","2013",519
6013,"Contra Costa","2014",513
6013,"Contra Costa","2015",514
6013,"Contra Costa","2016",503
6013,"Contra Costa","2017",511
6013,"Contra Costa","2018",459
6013,"Contra Costa","2019",458
6015,"Del Norte","2005",280
6015,"Del Norte","2006",182
6015,"Del Norte","2007",170
6015,"Del Norte","2008",165
6015,"Del Norte","2009",162
6015,"Del Norte","2010",163
6015,"Del Norte","2011",166
6015,"Del Norte","2012",158
6015,"Del Norte","2013",155
6015,"Del Norte","2014",149
6015,"Del Norte","2015",157
6015,"Del Norte","2016",172
6015,"Del Norte","2017",161
6015,"Del Norte","2018",154
6015,"Del Norte","2019",137
6017,"El Dorado","2005",472
6017,"El Dorado","2006",525
6017,"El Dorado","2007",476
6017,"El Dorado","2008",495
6017,"El Dorado","2009",469
6017,"El Dorado","2010",473
6017,"El Dorado","2011",481
6017,"El Dorado","2012",491
6017,"El Dorado","2013",493
6017,"El Dorado","2014",522
6017,"El Dorado","2015",500
6017,"El Dorado","2016",490
6017,"El Dorado","2017",536
6017,"El Dorado","2018",489
6017,"El Dorado","2019",478
6019,"Fresno","2005",446
6019,"Fresno","2006",453
6019,"Fresno","2007",455
6019,"Fresno","2008",506
6019,"Fresno","2009",515
6019,"Fresno","2010",547
6019,"Fresno","2011",546
6019,"Fresno","2012",548
6019,"Fresno","2013",549
6019,"Fresno","2014",553
6019,"Fresno","2015",559
6019,"Fresno","2016",518
6019,"Fresno","2017",558
6019,"Fresno","2018",517
6019,"Fresno","2019",509
6021,"Glenn","2005",113
6021,"Glenn","2006",540
6021,"Glenn","2007",568
6021,"Glenn","2008",688
6021,"Glenn","2009",118
6021,"Glenn","2010",148
6021,"Glenn","2011",147
6021,"Glenn","2012",117
6021,"Glenn","2013",146
6021,"Glenn","2014",118
6021,"Glenn","2015",146
6021,"Glenn","2016",115
6021,"Glenn","2017",152
6021,"Glenn","2018",112
6021,"Glenn","2019",138
6023,"Humboldt","2005",614
6023,"Humboldt","2006",573
6023,"Humboldt","2007",588
6023,"Humboldt","2008",615
6023,"Humboldt","2009",635
6023,"Humboldt","2010",594
6023,"Humboldt","2011",643
6023,"Humboldt","2012",710
6023,"Humboldt","2013",702
6023,"Humboldt","2014",685
6023,"Humboldt","2015",623
6023,"Humboldt","2016",619
6023,"Humboldt","2017",632
6023,"Humboldt","2018",542
6023,"Humboldt","2019",524
6025,"Imperial","2005",57
6025,"Imperial","2006",51
6025,"Imperial","2007",62
6025,"Imperial","2008",61
6025,"Imperial","2009",66
6025,"Imperial","2010",72
6025,"Imperial","2011",54
6025,"Imperial","2012",55
6025,"Imperial","2013",45
6025,"Imperial","2014",63
6025,"Imperial","2015",52
6025,"Imperial","2016",44
6025,"Imperial","2017",46
6025,"Imperial","2018",27
6025,"Imperial","2019",36
6027,"Inyo","2005",136
6027,"Inyo","2006",641
6027,"Inyo","2007",527
6027,"Inyo","2008",692
6027,"Inyo","2009",641
6027,"Inyo","2010",629
6027,"Inyo","2011",704
6027,"Inyo","2012",622
6027,"Inyo","2013",682
6027,"Inyo","2014",688
6027,"Inyo","2015",644
6027,"Inyo","2016",682
6027,"Inyo","2017",132
6027,"Inyo","2018",616
6027,"Inyo","2019",688
6029,"Kern","2005",329
6029,"Kern","2006",320
6029,"Kern","2007",330
6029,"Kern","2008",331
6029,"Kern","2009",384
6029,"Kern","2010",383
6029,"Kern","2011",387
6029,"Kern","2012",442
6029,"Kern","2013",443
6029,"Kern","2014",447
6029,"Kern","2015",456
6029,"Kern","2016",394
6029,"Kern","2017",391
6029,"Kern","2018",377
6029,"Kern","2019",376
6031,"Kings","2005",4
6031,"Kings","2006",687
6031,"Kings","2007",648
6031,"Kings","2008",8
6031,"Kings","2009",33
6031,"Kings","2010",41
6031,"Kings","2011",47
6031,"Kings","2012",56
6031,"Kings","2013",49
6031,"Kings","2014",40
6031,"Kings","2015",42
6031,"Kings","2016",6
6031,"Kings","2017",15
6031,"Kings","2018",626
6031,"Kings","2019",574
6033,"Lake","2005",370
6033,"Lake","2006",412
6033,"Lake","2007",372
6033,"Lake","2008",363
6033,"Lake","2009",399
6033,"Lake","2010",397
6033,"Lake","2011",371
6033,"Lake","2012",405
6033,"Lake","2013",405
6033,"Lake","2014",427
6033,"Lake","2015",426
6033,"Lake","2016",431
6033,"Lake","2017",430
6033,"Lake","2018",463
6033,"Lake","2019",464
6035,"Lassen","2005",158
6035,"Lassen","2006",134
6035,"Lassen","2007",136
6035,"Lassen","2008",136
6035,"Lassen","2009",155
6035,"Lassen","2010",135
6035,"Lassen","2011",116
6035,"Lassen","2012",114
6035,"Lassen","2013",115
6035,"Lassen","2014",114
6035,"Lassen","2015",161
6035,"Lassen","2016",136
6035,"Lassen","2017",153
6035,"Lassen","2018",133
6035,"Lassen","2019",113
6037,"Los Angeles","2005",429
6037,"Los Angeles","2006",411
6037,"Los Angeles","2007",410
6037,"Los Angeles","2008",415
6037,"Los Angeles","2009",465
6037,"Los Angeles","2010",420
6037,"Los Angeles","2011",425
6037,"Los Angeles","2012",435
6037,"Los Angeles","2013",436
6037,"Los Angeles","2014",461
6037,"Los Angeles","2015",466
6037,"Los Angeles","2016",460
6037,"Los Angeles","2017",434
6037,"Los Angeles","2018",418
6037,"Los Angeles","2019",419
6039,"Madera","2005",592
6039,"Madera","2006",636
6039,"Madera","2007",696
6039,"Madera","2008",14
6039,"Madera","2009",13
6039,"Madera","2010",34
6039,"Madera","2011",20
6039,"Madera","2012",25
6039,"Madera","2013",624
6039,"Madera","2014",709
6039,"Madera","2015",7
6039,"Madera","2016",701
6039,"Madera","2017",706
6039,"Madera","2018",617
6039,"Madera","2019",586
6041,"Marin","2005",572
6041,"Marin","2006",613
6041,"Marin","2007",533
6041,"Marin","2008",538
6041,"Marin","2009",541
6041,"Marin","2010",581
6041,"Marin","2011",578
6041,"Marin","2012",564
6041,"Marin","2013",541
6041,"Marin","2014",534
6041,"Marin","2015",474
6041,"Marin","2016",480
6041,"Marin","2017",488
6041,"Marin","2018",497
6041,"Marin","2019",478
6043,"Mariposa","2005",562
6043,"Mariposa","2006",692
6043,"Mariposa","2007",568
6043,"Mariposa","2008",575
6043,"Mariposa","2009",521
6043,"Mariposa","2010",537
6043,"Mariposa","2011",543
6043,"Mariposa","2012",523
6043,"Mariposa","2013",532
6043,"Mariposa","2014",521
6043,"Mariposa","2015",591
6043,"Mariposa","2016",537
6043,"Mariposa","2017",530
6043,"Mariposa","2018",540
6043,"Mariposa","2019",527
6045,"Mendocino","2005",471
6045,"Mendocino","2006",483
6045,"Mendocino","2007",470
6045,"Mendocino","2008",477
6045,"Mendocino","2009",501
6045,"Mendocino","2010",529
6045,"Mendocino","2011",479
6045,"Mendocino","2012",437
6045,"Mendocino","2013",422
6045,"Mendocino","2014",421
6045,"Mendocino","2015",426
6045,"Mendocino","2016",413
6045,"Mendocino","2017",490
6045,"Mendocino","2018",462
6045,"Mendocino","2019",432
6047,"Merced","2005",43
6047,"Merced","2006",58
6047,"Merced","2007",68
6047,"Merced","2008",92
6047,"Merced","2009",188
6047,"Merced","2010",201
6047,"Merced","2011",189
6047,"Merced","2012",202
6047,"Merced","2013",199
6047,"Merced","2014",207
6047,"Merced","2015",215
6047,"Merced","2016",202
6047,"Merced","2017",191
6047,"Merced","2018",75
6047,"Merced","2019",74
6049,"Modoc","2005",356
6049,"Modoc","2006",268
6049,"Modoc","2007",335
6049,"Modoc","2008",409
6049,"Modoc","2009",398
6049,"Modoc","2010",402
6049,"Modoc","2011",428
6049,"Modoc","2012",428
6049,"Modoc","2013",401
6049,"Modoc","2014",521
6049,"Modoc","2015",468
6049,"Modoc","2016",499
6049,"Modoc","2017",584
6049,"Modoc","2018",625
6049,"Modoc","2019",539
6051,"Mono","2005",261
6051,"Mono","2006",171
6051,"Mono","2007",171
6051,"Mono","2008",274
6051,"Mono","2009",295
6051,"Mono","2010",276
6051,"Mono","2011",261
6051,"Mono","2012",276
6051,"Mono","2013",396
6051,"Mono","2014",433
6051,"Mono","2015",402
6051,"Mono","2016",352
6051,"Mono","2017",396
6051,"Mono","2018",527
6051,"Mono","2019",428
6053,"Monterey","2005",78
6053,"Monterey","2006",77
6053,"Monterey","2007",80
6053,"Monterey","2008",83
6053,"Monterey","2009",82
6053,"Monterey","2010",93
6053,"Monterey","2011",86
6053,"Monterey","2012",94
6053,"Monterey","2013",192
6053,"Monterey","2014",192
6053,"Monterey","2015",199
6053,"Monterey","2016",91
6053,"Monterey","2017",85
6053,"Monterey","2018",69
6053,"Monterey","2019",70
6055,"Napa","2005",495
6055,"Napa","2006",498
6055,"Napa","2007",439
6055,"Napa","2008",423
6055,"Napa","2009",485
6055,"Napa","2010",526
6055,"Napa","2011",494
6055,"Napa","2012",487
6055,"Napa","2013",484
6055,"Napa","2014",535
6055,"Napa","2015",486
6055,"Napa","2016",408
6055,"Napa","2017",475
6055,"Napa","2018",467
6055,"Napa","2019",438
6057,"Nevada","2005",369
6057,"Nevada","2006",369
6057,"Nevada","2007",407
6057,"Nevada","2008",416
6057,"Nevada","2009",432
6057,"Nevada","2010",408
6057,"Nevada","2011",406
6057,"Nevada","2012",373
6057,"Nevada","2013",358
6057,"Nevada","2014",366
6057,"Nevada","2015",362
6057,"Nevada","2016",287
6057,"Nevada","2017",338
6057,"Nevada","2018",267
6057,"Nevada","2019",266
6059,"Orange","2005",664
6059,"Orange","2006",599
6059,"Orange","2007",601
6059,"Orange","2008",610
6059,"Orange","2009",672
6059,"Orange","2010",651
6059,"Orange","2011",602
6059,"Orange","2012",679
6059,"Orange","2013",673
6059,"Orange","2014",669
6059,"Orange","2015",103
6059,"Orange","2016",604
6059,"Orange","2017",651
6059,"Orange","2018",597
6059,"Orange","2019",598
6061,"Placer","2005",620
6061,"Placer","2006",590
6061,"Placer","2007",570
6061,"Placer","2008",693
6061,"Placer","2009",32
