"Latitude","Longitude","Pollutant Standard","Year","Units of Measure","Arithmetic Mean","State Name","County Name"
37.7986,-122.2684,"CO 1-hour 1971",2005,"Parts per million",0.549076,"California","Alameda"
37.7986,-122.2684,"Ozone 8-hour 2015",2005,"Parts per million",0.020329,"California","Alameda"
37.710229,-122.116899,"Ozone 8-hour 2015",2005,"Parts per million",0.029905,"California","Alameda"
37.687526,-121.784217,"CO 1-hour 1971",2005,"Parts per million",0.466562,"California","Alameda"
37.687526,-121.784217,"NO2 1-hour 2010",2005,"Parts per billion",26.118457,"California","Alameda"
37.687526,-121.784217,"Ozone 8-hour 2015",2005,"Parts per million",0.036119,"California","Alameda"
37.687526,-121.784217,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",9.621505,"California","Alameda"
37.535833,-121.961823,"CO 1-hour 1971",2005,"Parts per million",0.461709,"California","Alameda"
37.535833,-121.961823,"NO2 1-hour 2010",2005,"Parts per billion",26.67313,"California","Alameda"
37.535833,-121.961823,"Ozone 8-hour 2015",2005,"Parts per million",0.030169,"California","Alameda"
37.535833,-121.961823,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",9.427174,"California","Alameda"
37.654456,-122.031547,"Ozone 8-hour 2015",2005,"Parts per million",0.031842,"California","Alameda"
39.757371,-121.843286,"CO 1-hour 1971",2005,"Parts per million",0.389582,"California","Butte"
39.757371,-121.843286,"NO2 1-hour 2010",2005,"Parts per billion",20.369146,"California","Butte"
39.757371,-121.843286,"Ozone 8-hour 2015",2005,"Parts per million",0.038771,"California","Butte"
39.757371,-121.843286,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",12.442623,"California","Butte"
39.708454,-121.617309,"Ozone 8-hour 2015",2005,"Parts per million",0.047967,"California","Butte"
37.936013,-122.026154,"CO 1-hour 1971",2005,"Parts per million",0.431161,"California","Contra Costa"
37.936013,-122.026154,"SO2 1-hour 2010",2005,"Parts per billion",3.022284,"California","Contra Costa"
37.936013,-122.026154,"NO2 1-hour 2010",2005,"Parts per billion",21.479224,"California","Contra Costa"
37.936013,-122.026154,"Ozone 8-hour 2015",2005,"Parts per million",0.034712,"California","Contra Costa"
37.936013,-122.026154,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",10.562245,"California","Contra Costa"
37.936013,-122.026154,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",9.8,"California","Contra Costa"
37.948172,-122.364852,"SO2 1-hour 2010",2005,"Parts per billion",4.169863,"California","Contra Costa"
38.05492,-122.233229,"SO2 1-hour 2010",2005,"Parts per billion",5.25,"California","Contra Costa"
38.006311,-121.641918,"CO 1-hour 1971",2005,"Parts per million",0.271574,"California","Contra Costa"
38.006311,-121.641918,"SO2 1-hour 2010",2005,"Parts per billion",4.093923,"California","Contra Costa"
38.006311,-121.641918,"NO2 1-hour 2010",2005,"Parts per billion",14.035714,"California","Contra Costa"
38.006311,-121.641918,"Ozone 8-hour 2015",2005,"Parts per million",0.034939,"California","Contra Costa"
37.9604,-122.356811,"CO 1-hour 1971",2005,"Parts per million",0.359906,"California","Contra Costa"
37.9604,-122.356811,"SO2 1-hour 2010",2005,"Parts per billion",4.361582,"California","Contra Costa"
37.9604,-122.356811,"NO2 1-hour 2010",2005,"Parts per billion",22.302521,"California","Contra Costa"
37.9604,-122.356811,"Ozone 8-hour 2015",2005,"Parts per million",0.027908,"California","Contra Costa"
38.012816,-122.134467,"SO2 1-hour 2010",2005,"Parts per billion",4.912329,"California","Contra Costa"
38.029258,-121.896866,"CO 1-hour 1971",2005,"Parts per million",0.394178,"California","Contra Costa"
38.029258,-121.896866,"SO2 1-hour 2010",2005,"Parts per billion",6.567867,"California","Contra Costa"
38.029258,-121.896866,"NO2 1-hour 2010",2005,"Parts per billion",20.156164,"California","Contra Costa"
38.029258,-121.896866,"Ozone 8-hour 2015",2005,"Parts per million",0.034448,"California","Contra Costa"
36.705474,-119.741332,"CO 1-hour 1971",2005,"Parts per million",0.463843,"California","Fresno"
36.705474,-119.741332,"NO2 1-hour 2010",2005,"Parts per billion",33.094183,"California","Fresno"
36.705474,-119.741332,"Ozone 8-hour 2015",2005,"Parts per million",0.04322,"California","Fresno"
36.781333,-119.77319,"CO 1-hour 1971",2005,"Parts per million",0.348225,"California","Fresno"
36.781333,-119.77319,"NO2 1-hour 2010",2005,"Parts per billion",32.814706,"California","Fresno"
36.781333,-119.77319,"Ozone 8-hour 2015",2005,"Parts per million",0.047434,"California","Fresno"
36.781333,-119.77319,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.181009,"California","Fresno"
36.781333,-119.77319,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.296875,"California","Fresno"
36.841592,-119.874739,"CO 1-hour 1971",2005,"Parts per million",0.333297,"California","Fresno"
36.841592,-119.874739,"NO2 1-hour 2010",2005,"Parts per billion",23.038567,"California","Fresno"
36.841592,-119.874739,"Ozone 8-hour 2015",2005,"Parts per million",0.04622,"California","Fresno"
36.597442,-119.503659,"NO2 1-hour 2010",2005,"Parts per billion",21.259669,"California","Fresno"
36.597442,-119.503659,"Ozone 8-hour 2015",2005,"Parts per million",0.048056,"California","Fresno"
36.819449,-119.716433,"CO 1-hour 1971",2005,"Parts per million",0.423353,"California","Fresno"
36.819449,-119.716433,"NO2 1-hour 2010",2005,"Parts per billion",28.425414,"California","Fresno"
36.819449,-119.716433,"Ozone 8-hour 2015",2005,"Parts per million",0.045278,"California","Fresno"
36.819449,-119.716433,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",17.646341,"California","Fresno"
36.72639,-119.733,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",19.585393,"California","Fresno"
40.80178,-124.1621,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",8.766667,"California","Humboldt"
32.673948,-115.503884,"Ozone 8-hour 2015",2005,"Parts per million",0.038876,"California","Imperial"
32.67618,-115.48307,"CO 1-hour 1971",2005,"Parts per million",0.637143,"California","Imperial"
32.67618,-115.48307,"SO2 1-hour 2010",2005,"Parts per billion",0.477966,"California","Imperial"
32.67618,-115.48307,"NO2 1-hour 2010",2005,"Parts per billion",35.07989,"California","Imperial"
32.67618,-115.48307,"Ozone 8-hour 2015",2005,"Parts per million",0.042616,"California","Imperial"
32.67618,-115.48307,"PM25 Annual 2012",2005,"Micrograms/cubic meter (LC)",13.502083,"California","Imperial"
32.677833,-115.390544,"CO 1-hour 1971",2005,"Parts per million",0.647997,"California","Imperial"
32.677833,-115.390544,"NO2 1-hour 2010",2005,"Parts per billion",28.472789,"California","Imperial"
