"CountyFIPS","County","Year","Population"
"06001","Alameda County, California","2005",1421308
"06007","Butte County, California","2005",207937
"06013","Contra Costa County, California","2005",1006486
"06017","El Dorado County, California","2005",175790
"06019","Fresno County, California","2005",858948
"06023","Humboldt County, California","2005",124031
"06025","Imperial County, California","2005",144523
"06029","Kern County, California","2005",724206
"06031","Kings County, California","2005",121418
"06033","Lake County, California","2005",63962
"06037","Los Angeles County, California","2005",9758886
"06039","Madera County, California","2005",134159
"06041","Marin County, California","2005",235609
"06045","Mendocino County, California","2005",86011
"06047","Merced County, California","2005",237278
"06053","Monterey County, California","2005",389004
"06055","Napa County, California","2005",127445
"06057","Nevada County, California","2005",97572
"06059","Orange County, California","2005",2944537
"06061","Placer County, California","2005",314135
"06065","Riverside County, California","2005",1911281
"06067","Sacramento County, California","2005",1337942
"06071","San Bernardino County, California","2005",1916665
"06073","San Diego County, California","2005",2824259
"06075","San Francisco County, California","2005",719077
"06077","San Joaquin County, California","2005",646259
"06079","San Luis Obispo County, California","2005",239638
"06081","San Mateo County, California","2005",689271
"06083","Santa Barbara County, California","2005",383393
"06085","Santa Clara County, California","2005",1669890
"06087","Santa Cruz County, California","2005",240367
"06089","Shasta County, California","2005",176570
"06095","Solano County, California","2005",395426
"06097","Sonoma County, California","2005",453850
"06099","Stanislaus County, California","2005",497804
"06101","Sutter County, California","2005",87444
"06107","Tulare County, California","2005",404909
"06111","Ventura County, California","2005",782759
"06113","Yolo County, California","2005",176609
"06115","Yuba County, California","2005",65818
"06001","Alameda County, California","2006",1457426
"06007","Butte County, California","2006",215881
"06013","Contra Costa County, California","2006",1024319
"06017","El Dorado County, California","2006",178066
"06019","Fresno County, California","2006",891756
"06023","Humboldt County, California","2006",128330
"06025","Imperial County, California","2006",160301
"06029","Kern County, California","2006",780117
"06031","Kings County, California","2006",146153
"06033","Lake County, California","2006",65933
"06037","Los Angeles County, California","2006",9948081
"06039","Madera County, California","2006",146345
"06041","Marin County, California","2006",248742
"06045","Mendocino County, California","2006",88109
"06047","Merced County, California","2006",245658
"06053","Monterey County, California","2006",410206
"06055","Napa County, California","2006",133522
"06057","Nevada County, California","2006",98764
"06059","Orange County, California","2006",3002048
"06061","Placer County, California","2006",326242
"06065","Riverside County, California","2006",2026803
"06067","Sacramento County, California","2006",1374724
"06071","San Bernardino County, California","2006",1999332
"06073","San Diego County, California","2006",2941454
"06075","San Francisco County, California","2006",744041
"06077","San Joaquin County, California","2006",673170
"06079","San Luis Obispo County, California","2006",257005
"06081","San Mateo County, California","2006",705499
"06083","Santa Barbara County, California","2006",400335
"06085","Santa Clara County, California","2006",1731281
"06087","Santa Cruz County, California","2006",249705
"06089","Shasta County, California","2006",179951
"06095","Solano County, California","2006",411680
"06097","Sonoma County, California","2006",466891
"06099","Stanislaus County, California","2006",512138
"06101","Sutter County, California","2006",91410
"06107","Tulare County, California","2006",419909
"06111","Ventura County, California","2006",799720
"06113","Yolo County, California","2006",188085
"06115","Yuba County, California","2006",70396
"06001","Alameda County, California","2007",1464202
"06007","Butte County, California","2007",218779
"06013","Contra Costa County, California","2007",1019640
"06017","El Dorado County, California","2007",175689
"06019","Fresno County, California","2007",899348
"06023","Humboldt County, California","2007",128864
"06025","Imperial County, California","2007",161867
"06029","Kern County, California","2007",790710
"06031","Kings County, California","2007",148875
"06033","Lake County, California","2007",64664
"06037","Los Angeles County, California","2007",9878554
"06039","Madera County, California","2007",146513
"06041","Marin County, California","2007",248096
"06045","Mendocino County, California","2007",86273
"06047","Merced County, California","2007",245514
"06053","Monterey County, California","2007",407637
"06055","Napa County, California","2007",132565
"06057","Nevada County, California","2007",97027
"06059","Orange County, California","2007",2997033
"06061","Placer County, California","2007",332920
"06065","Riverside County, California","2007",2073571
"06067","Sacramento County, California","2007",1386667
"06071","San Bernardino County, California","2007",2007800
"06073","San Diego County, California","2007",2974859
"06075","San Francisco County, California","2007",764976
"06077","San Joaquin County, California","2007",670990
"06079","San Luis Obispo County, California","2007",262436
"06081","San Mateo County, California","2007",706984
"06083","Santa Barbara County, California","2007",404197
"06085","Santa Clara County, California","2007",1748976
"06087","Santa Cruz County, California","2007",251747
"06089","Shasta County, California","2007",179427
"06095","Solano County, California","2007",408599
"06097","Sonoma County, California","2007",464435
"06099","Stanislaus County, California","2007",511263
