"UNIT","YEAR","mean"
"Butte",2008,6519
"Fresno",2008,792.333333333333
"Humboldt",2008,1076
"Mendocino",2008,1970.78125
"Nevada",2008,1000
"Riverside",2008,424
"San Bernardino",2008,502
"San Mateo",2008,483.333333333333
"Santa Clara",2008,2510
"Shasta",2008,4524.47058823529
"Sonoma",2008,4162.2
"Tulare",2008,512.5
"Lake",2009,1500
"Monterey",2009,4910
"Placer",2009,480.5
"Riverside",2009,449
"San Bernardino",2009,1052
"San Joaquin",2009,7181.5
"San Luis Obispo",2009,600
"Santa Clara",2009,1600
"Santa Cruz",2009,4151
"Shasta",2009,3517.2
"Stanislaus",2009,570
"Tulare",2009,495
"Yolo",2009,716
"Alameda",2010,475
"Butte",2010,900
"Fresno",2010,350
"Kern",2010,1110
"Lake",2010,450
"Los Angeles",2010,14000
"Merced",2010,1031
"Nevada",2010,1500
"Placer",2010,434
"Riverside",2010,768.25
"San Diego",2010,1413.5
"Stanislaus",2010,586
"Tulare",2010,682
"Alameda",2011,522.5
"Humboldt",2011,498
"Kern",2011,10112.7777777778
"Los Angeles",2011,375
"Mendocino",2011,616
"Merced",2011,532
"Monterey",2011,607
"Orange",2011,508
"Riverside",2011,697.5
"San Bernardino",2011,1153
"San Diego",2011,8117.5
"San Joaquin",2011,761
"Solano",2011,715
"Stanislaus",2011,330
"Tulare",2011,611.6
"Fresno",2012,418
"Kern",2012,899
"Lake",2012,3187.75
"Los Angeles",2012,525
"Mendocino",2012,383
"Merced",2012,434
"Monterey",2012,2529
"Placer",2012,2650
"Riverside",2012,1062
"San Diego",2012,6741
"San Luis Obispo",2012,640
"Shasta",2012,1083
"Yolo",2012,520
"Butte",2013,1284.5
"Contra Costa",2013,1796
"Kern",2013,556
"Lake",2013,335
"Los Angeles",2013,712
"Mendocino",2013,300
"Merced",2013,450
"Riverside",2013,10345.8
"San Bernardino",2013,534
"San Diego",2013,4068.33333333333
"San Joaquin",2013,303
"Shasta",2013,8073
"Sonoma",2013,3505
"Ventura",2013,24251
"Butte",2014,439
"Humboldt",2014,333
"Mendocino",2014,6469
"Merced",2014,607.333333333333
"Placer",2014,459
"Riverside",2014,350
"San Diego",2014,1993
"Shasta",2014,6980.5
"Yolo",2014,3429
"Alameda",2015,2850
"Butte",2015,766.666666666667
"Humboldt",2015,4883
"Lake",2015,42880.25
"Merced",2015,1247.33333333333
"Monterey",2015,1086
"Nevada",2015,2304
"Riverside",2015,774.5
"Sacramento",2015,357
"San Luis Obispo",2015,2118.5
"Tulare",2015,430
"Butte",2016,660
"Fresno",2016,4078.33333333333
"Humboldt",2016,599
"Kern",2016,710
"Lake",2016,3929
"Los Angeles",2016,1100
"Merced",2016,1246
"Monterey",2016,46626.3333333333
"Placer",2016,5645
"Riverside",2016,1470
"Sacramento",2016,372
"San Diego",2016,7609
"San Luis Obispo",2016,46235
"Santa Clara",2016,4474
"Shasta",2016,303
"Sonoma",2016,1547
"Yolo",2016,5731
"Butte",2017,6175
"Fresno",2017,2757.14285714286
"Kern",2017,853
"Kings",2017,48660
"Lake",2017,2207
"Los Angeles",2017,5819.5
"Mendocino",2017,18711.5
"Merced",2017,1733
"Monterey",2017,1816
"Nevada",2017,429.666666666667
"Orange",2017,5939.5
"Riverside",2017,2711.8
"Sacramento",2017,1268
"San Bernardino",2017,392.5
"San Diego",2017,2181.33333333333
"San Luis Obispo",2017,10217.6666666667
"Santa Barbara",2017,444
"Santa Cruz",2017,391
"Shasta",2017,900
"Sonoma",2017,21876.6666666667
"Tulare",2017,1014.66666666667
"Ventura",2017,281893
"Yolo",2017,1700
"Alameda",2018,480
"Butte",2018,51448.6666666667
"Kern",2018,3516
"Lake",2018,15180
"Los Angeles",2018,2366
"Merced",2018,3159.5
"Monterey",2018,1112
"Placer",2018,695
"Riverside",2018,1261
"San Bernardino",2018,1350
"San Diego",2018,365
"San Joaquin",2018,11789
"Santa Clara",2018,320
"Shasta",2018,77312.3333333333
"Solano",2018,2162
"Tulare",2018,496
"Ventura",2018,50665
"Yolo",2018,45411
"Butte",2019,496
"Contra Costa",2019,340
"Mendocino",2019,703
"Monterey",2019,1426
"Placer",2019,474
"Riverside",2019,685
"San Luis Obispo",2019,1170.75
"Santa Barbara",2019,420
"Shasta",2019,600
"Sonoma",2019,77758
"Stanislaus",2019,1500.5
"Tulare",2019,756
"Ventura",2019,6187
