"CountyFIPS","County","Year","Percent_Poverty","Population","Poverty_per100k"
"6001","Alameda","2005",11.8,1421308,11800
"6007","Butte","2005",19.2,207937,19200
"6013","Contra Costa","2005",8.1,1006486,8100
"6017","El Dorado","2005",7.4,175790,7400
"6019","Fresno","2005",20.8,858948,20800
"6023","Humboldt","2005",16.5,124031,16500
"6025","Imperial","2005",21.3,144523,21300
"6029","Kern","2005",20.8,724206,20800
"6031","Kings","2005",20.6,121418,20600
"6033","Lake","2005",18.3,63962,18300
"6037","Los Angeles","2005",16.2,9758886,16200
"6039","Madera","2005",18.3,134159,18300
"6041","Marin","2005",6.5,235609,6500
"6045","Mendocino","2005",17,86011,17000
"6047","Merced","2005",18.6,237278,18600
"6053","Monterey","2005",14.1,389004,14100
"6055","Napa","2005",7.5,127445,7500
"6057","Nevada","2005",7.5,97572,7500
"6059","Orange","2005",8.9,2944537,8900
"6061","Placer","2005",5.6,314135,5600
"6065","Riverside","2005",11.5,1911281,11500
"6067","Sacramento","2005",13.6,1337942,13600
"6071","San Bernardino","2005",15,1916665,15000
"6073","San Diego","2005",11,2824259,11000
"6075","San Francisco","2005",12.2,719077,12200
"6077","San Joaquin","2005",14.7,646259,14700
"6079","San Luis Obispo","2005",13.5,239638,13500
"6081","San Mateo","2005",6.9,689271,6900
"6083","Santa Barbara","2005",12.7,383393,12700
"6085","Santa Clara","2005",8.4,1669890,8400
"6087","Santa Cruz","2005",11.8,240367,11800
"6089","Shasta","2005",13.8,176570,13800
"6095","Solano","2005",9.2,395426,9200
"6097","Sonoma","2005",8.9,453850,8900
"6099","Stanislaus","2005",14.5,497804,14500
"6101","Sutter","2005",11.9,87444,11900
"6107","Tulare","2005",23.2,404909,23200
"6111","Ventura","2005",9.7,782759,9700
"6113","Yolo","2005",15.2,176609,15200
"6115","Yuba","2005",17.1,65818,17100
"6001","Alameda","2006",11.1,1457426,11100
"6007","Butte","2006",16.7,215881,16700
"6013","Contra Costa","2006",7.9,1024319,7900
"6017","El Dorado","2006",7.6,178066,7600
"6019","Fresno","2006",20.8,891756,20800
"6023","Humboldt","2006",18,128330,18000
"6025","Imperial","2006",19.4,160301,19400
"6029","Kern","2006",20.5,780117,20500
"6031","Kings","2006",21.3,146153,21300
"6033","Lake","2006",17.1,65933,17100
"6037","Los Angeles","2006",15.4,9948081,15400
"6039","Madera","2006",21.1,146345,21100
"6041","Marin","2006",8.3,248742,8300
"6045","Mendocino","2006",16.8,88109,16800
"6047","Merced","2006",20.7,245658,20700
"6053","Monterey","2006",11.6,410206,11600
"6055","Napa","2006",10.3,133522,10300
"6057","Nevada","2006",7.9,98764,7900
"6059","Orange","2006",9.8,3002048,9800
"6061","Placer","2006",5.7,326242,5700
"6065","Riverside","2006",12.2,2026803,12200
"6067","Sacramento","2006",12.1,1374724,12100
"6071","San Bernardino","2006",13.8,1999332,13800
"6073","San Diego","2006",11.7,2941454,11700
"6075","San Francisco","2006",12.1,744041,12100
"6077","San Joaquin","2006",14.4,673170,14400
"6079","San Luis Obispo","2006",13.1,257005,13100
"6081","San Mateo","2006",7.2,705499,7200
"6083","Santa Barbara","2006",15.8,400335,15800
"6085","Santa Clara","2006",9,1731281,9000
"6087","Santa Cruz","2006",11.9,249705,11900
"6089","Shasta","2006",16.7,179951,16700
"6095","Solano","2006",10.4,411680,10400
"6097","Sonoma","2006",9.6,466891,9600
"6099","Stanislaus","2006",14.4,512138,14400
"6101","Sutter","2006",13.3,91410,13300
"6107","Tulare","2006",21.6,419909,21600
"6111","Ventura","2006",9,799720,9000
"6113","Yolo","2006",16.9,188085,16900
"6115","Yuba","2006",19,70396,19000
"6001","Alameda","2007",11,1464202,11000
"6007","Butte","2007",17.1,218779,17100
"6013","Contra Costa","2007",8.7,1019640,8700
"6017","El Dorado","2007",8.2,175689,8200
"6019","Fresno","2007",20,899348,20000
"6023","Humboldt","2007",16.9,128864,16900
"6025","Imperial","2007",21,161867,21000
"6029","Kern","2007",18.1,790710,18100
"6031","Kings","2007",17.2,148875,17200
"6033","Lake","2007",16.4,64664,16400
"6037","Los Angeles","2007",14.6,9878554,14600
"6039","Madera","2007",16.9,146513,16900
"6041","Marin","2007",6.8,248096,6800
"6045","Mendocino","2007",15.4,86273,15400
"6047","Merced","2007",19.3,245514,19300
"6053","Monterey","2007",12.1,407637,12100
"6055","Napa","2007",8.6,132565,8600
"6057","Nevada","2007",8.8,97027,8800
"6059","Orange","2007",8.9,2997033,8900
"6061","Placer","2007",6,332920,6000
"6065","Riverside","2007",11.7,2073571,11700
"6067","Sacramento","2007",12.2,1386667,12200
"6071","San Bernardino","2007",12.1,2007800,12100
"6073","San Diego","2007",11.1,2974859,11100
"6075","San Francisco","2007",10.6,764976,10600
"6077","San Joaquin","2007",14.2,670990,14200
"6079","San Luis Obispo","2007",11.5,262436,11500
"6081","San Mateo","2007",6,706984,6000
"6083","Santa Barbara","2007",12.2,404197,12200
"6085","Santa Clara","2007",8.3,1748976,8300
"6087","Santa Cruz","2007",10.6,251747,10600
"6089","Shasta","2007",13.4,179427,13400
"6095","Solano","2007",9.6,408599,9600
"6097","Sonoma","2007",8.9,464435,8900
"6099","Stanislaus","2007",13.6,511263,13600
"6101","Sutter","2007",12.2,92040,12200
"6107","Tulare","2007",23.2,421553,23200
"6111","Ventura","2007",8.7,798364,8700
"6113","Yolo","2007",14.5,195844,14500
"6115","Yuba","2007",19.2,72098,19200
"6001","Alameda","2008",10.4,1474368,10400
"6007","Butte","2008",20.7,220337,20700
"6013","Contra Costa","2008",9.4,1029703,9400
"6017","El Dorado","2008",7.8,176075,7800
"6019","Fresno","2008",22.1,909153,22100
"6023","Humboldt","2008",19.8,129000,19800
"6025","Imperial","2008",21.5,163972,21500
"6029","Kern","2008",20.5,800458,20500
"6031","Kings","2008",17.9,149518,17900
"6033","Lake","2008",17.9,64866,17900
"6037","Los Angeles","2008",15.3,9862049,15300
"6039","Madera","2008",18.2,148333,18200
"6041","Marin","2008",7.1,248794,7100
"6045","Mendocino","2008",17.7,86221,17700
"6047","Merced","2008",21.5,246117,21500
"6053","Monterey","2008",12.7,408238,12700
"6055","Napa","2008",9,133433,9000
"6057","Nevada","2008",9.2,97118,9200
"6059","Orange","2008",9.9,3010759,9900
"6061","Placer","2008",6.7,341945,6700
"6065","Riverside","2008",12.6,2100516,12600
"6067","Sacramento","2008",13.3,1394154,13300
"6071","San Bernardino","2008",14.7,2015355,14700
"6073","San Diego","2008",12.6,3001072,12600
"6075","San Francisco","2008",11.2,808976,11200
"6077","San Joaquin","2008",16.5,672388,16500
"6079","San Luis Obispo","2008",12.1,265297,12100
"6081","San Mateo","2008",6.5,712690,6500
"6083","Santa Barbara","2008",12.7,405396,12700
"6085","Santa Clara","2008",7.6,1764499,7600
"6087","Santa Cruz","2008",13.3,253137,13300
"6089","Shasta","2008",17.7,180214,17700
"6095","Solano","2008",9,407515,9000
"6097","Sonoma","2008",10.4,466741,10400
"6099","Stanislaus","2008",14.4,510694,14400
"6101","Sutter","2008",15.5,92207,15500
"6107","Tulare","2008",21.5,426276,21500
"6111","Ventura","2008",8.7,797740,8700
"6113","Yolo","2008",14.6,197658,14600
"6115","Yuba","2008",16.6,73067,16600
"6001","Alameda","2009",10.8,1491482,10800
"6007","Butte","2009",18.5,220577,18500
"6013","Contra Costa","2009",9.5,1041274,9500
"6017","El Dorado","2009",7.6,178447,7600
"6019","Fresno","2009",21.5,915267,21500
"6023","Humboldt","2009",19,129623,19000
"6025","Imperial","2009",22.8,166874,22800
"6029","Kern","2009",22.2,807407,22200
"6031","Kings","2009",19.5,148764,19500
"6033","Lake","2009",22.1,65279,22100
"6037","Los Angeles","2009",16,9848011,16000
"6039","Madera","2009",20.6,148632,20600
"6041","Marin","2009",7.3,250750,7300
"6045","Mendocino","2009",17.5,86040,17500
"6047","Merced","2009",24.6,245321,24600
"6053","Monterey","2009",17.2,410370,17200
"6055","Napa","2009",8.6,134650,8600
"6057","Nevada","2009",10.1,97751,10100
"6059","Orange","2009",10.7,3026786,10700
"6061","Placer","2009",7.2,348552,7200
"6065","Riverside","2009",13.9,2125440,13900
"6067","Sacramento","2009",15.3,1400949,15300
"6071","San Bernardino","2009",17,2017673,17000
"6073","San Diego","2009",12.5,3053793,12500
"6075","San Francisco","2009",11.7,815358,11700
"6077","San Joaquin","2009",15.7,674860,15700
"6079","San Luis Obispo","2009",13.2,266971,13200
"6081","San Mateo","2009",7.6,718989,7600
"6083","Santa Barbara","2009",15,407057,15000
"6085","Santa Clara","2009",9.1,1784642,9100
"6087","Santa Cruz","2009",13.9,256218,13900
"6089","Shasta","2009",15.5,181099,15500
"6095","Solano","2009",10.7,407234,10700
"6097","Sonoma","2009",9.5,472102,9500
"6099","Stanislaus","2009",17,510385,17000
"6101","Sutter","2009",14.8,92614,14800
"6107","Tulare","2009",23,429668,23000
"6111","Ventura","2009",10.5,802983,10500
"6113","Yolo","2009",15.7,199407,15700
"6115","Yuba","2009",19.5,72925,19500
"6001","Alameda","2010",13.5,1513952,13500
"6007","Butte","2010",20.1,220072,20100
"6013","Contra Costa","2010",9.3,1052827,9300
"6017","El Dorado","2010",9.4,181194,9400
"6019","Fresno","2010",26.8,933248,26800
"6023","Humboldt","2010",18,134794,18000
"6025","Imperial","2010",22.3,175234,22300
"6029","Kern","2010",21.4,842207,21400
"6031","Kings","2010",22.5,153174,22500
"6033","Lake","2010",21,64771,21000
"6037","Los Angeles","2010",17.6,9830420,17600
"6039","Madera","2010",21.7,151408,21700
"6041","Marin","2010",9.2,252916,9200
"6045","Mendocino","2010",19.6,87828,19600
"6047","Merced","2010",23.1,256778,23100
"6053","Monterey","2010",17.1,416682,17100
"6055","Napa","2010",10.7,136858,10700
"6057","Nevada","2010",11.7,98794,11700
"6059","Orange","2010",12.2,3018963,12200
"6061","Placer","2010",9.1,350048,9100
