StateFIPS,State,CountyFIPS,County,Year,Value
6,California,6001,Alameda,2000,5.4
6,California,6001,Alameda,2001,5.4
6,California,6001,Alameda,2002,5.2
6,California,6001,Alameda,2003,5.6
6,California,6001,Alameda,2004,5.2
6,California,6001,Alameda,2005,5.4
6,California,6001,Alameda,2006,5.7
6,California,6001,Alameda,2007,5.3
6,California,6001,Alameda,2008,5.3
6,California,6001,Alameda,2009,5.5
6,California,6001,Alameda,2010,5.4
6,California,6001,Alameda,2011,5.6
6,California,6001,Alameda,2012,5.8
6,California,6001,Alameda,2013,5.6
6,California,6001,Alameda,2014,5.4
6,California,6001,Alameda,2015,5.4
6,California,6001,Alameda,2016,5.4
6,California,6001,Alameda,2017,5.8
6,California,6001,Alameda,2018,5.7
6,California,6001,Alameda,2019,5.9
6,California,6001,Alameda,2020,5.7
6,California,6003,Alpine,2000,No Events
6,California,6003,Alpine,2001,No Events
6,California,6003,Alpine,2002,No Events
6,California,6003,Alpine,2003,Suppressed
6,California,6003,Alpine,2004,No Events
6,California,6003,Alpine,2005,No Events
6,California,6003,Alpine,2006,No Events
6,California,6003,Alpine,2007,Suppressed
6,California,6003,Alpine,2008,Suppressed
6,California,6003,Alpine,2009,Suppressed
6,California,6003,Alpine,2010,Suppressed
6,California,6003,Alpine,2011,Suppressed
6,California,6003,Alpine,2012,Suppressed
6,California,6003,Alpine,2013,Suppressed
6,California,6003,Alpine,2014,Suppressed
6,California,6003,Alpine,2015,Suppressed
6,California,6003,Alpine,2016,Suppressed
6,California,6003,Alpine,2017,Suppressed
6,California,6003,Alpine,2018,Suppressed
6,California,6003,Alpine,2019,Suppressed
6,California,6003,Alpine,2020,Suppressed
6,California,6005,Amador,2000,Suppressed
6,California,6005,Amador,2001,Suppressed
6,California,6005,Amador,2002,Suppressed
6,California,6005,Amador,2003,Suppressed
6,California,6005,Amador,2004,Suppressed
6,California,6005,Amador,2005,Suppressed
6,California,6005,Amador,2006,Suppressed
6,California,6005,Amador,2007,Suppressed
6,California,6005,Amador,2008,Suppressed
6,California,6005,Amador,2009,3.4
6,California,6005,Amador,2010,Suppressed
6,California,6005,Amador,2011,Suppressed
6,California,6005,Amador,2012,Suppressed
6,California,6005,Amador,2013,Suppressed
6,California,6005,Amador,2014,Suppressed
6,California,6005,Amador,2015,Suppressed
6,California,6005,Amador,2016,Suppressed
6,California,6005,Amador,2017,Suppressed
6,California,6005,Amador,2018,Suppressed
6,California,6005,Amador,2019,Suppressed
6,California,6005,Amador,2020,3.7
6,California,6007,Butte,2000,3.8
6,California,6007,Butte,2001,4.2
6,California,6007,Butte,2002,5
6,California,6007,Butte,2003,4.4
6,California,6007,Butte,2004,4
6,California,6007,Butte,2005,4.7
6,California,6007,Butte,2006,4.6
6,California,6007,Butte,2007,5.4
6,California,6007,Butte,2008,4.2
6,California,6007,Butte,2009,4.8
6,California,6007,Butte,2010,4.3
6,California,6007,Butte,2011,4.2
6,California,6007,Butte,2012,4.5
6,California,6007,Butte,2013,4.8
6,California,6007,Butte,2014,4.8
6,California,6007,Butte,2015,5.1
6,California,6007,Butte,2016,4.3
6,California,6007,Butte,2017,4.6
6,California,6007,Butte,2018,4.4
6,California,6007,Butte,2019,5.3
6,California,6007,Butte,2020,4.5
6,California,6009,Calaveras,2000,Suppressed
6,California,6009,Calaveras,2001,Suppressed
6,California,6009,Calaveras,2002,Suppressed
6,California,6009,Calaveras,2003,Suppressed
6,California,6009,Calaveras,2004,Suppressed
6,California,6009,Calaveras,2005,Suppressed
6,California,6009,Calaveras,2006,Suppressed
6,California,6009,Calaveras,2007,Suppressed
6,California,6009,Calaveras,2008,Suppressed
6,California,6009,Calaveras,2009,Suppressed
6,California,6009,Calaveras,2010,Suppressed
6,California,6009,Calaveras,2011,Suppressed
