StateFIPS,State,CountyFIPS,County,Year,Value
06,California,06001,Alameda,2000,1162.00
06,California,06001,Alameda,2001,1160.00
06,California,06001,Alameda,2002,1091.00
06,California,06001,Alameda,2003,1167.00
06,California,06001,Alameda,2004,1047.00
06,California,06001,Alameda,2005,1096.00
06,California,06001,Alameda,2006,1163.00
06,California,06001,Alameda,2007,1109.00
06,California,06001,Alameda,2008,1077.00
06,California,06001,Alameda,2009,1076.00
06,California,06001,Alameda,2010,1006.00
06,California,06001,Alameda,2011,1024.00
06,California,06001,Alameda,2012,1094.00
06,California,06001,Alameda,2013,1030.00
06,California,06001,Alameda,2014,1025.00
06,California,06001,Alameda,2015,1012.00
06,California,06001,Alameda,2016,1029.00
06,California,06001,Alameda,2017,1063.00
06,California,06001,Alameda,2018,1012.00
06,California,06001,Alameda,2019,1038.00
06,California,06001,Alameda,2020,968.00
06,California,06003,Alpine,2000,No Events
06,California,06003,Alpine,2001,No Events
06,California,06003,Alpine,2002,No Events
06,California,06003,Alpine,2003,Suppressed
06,California,06003,Alpine,2004,No Events
06,California,06003,Alpine,2005,No Events
06,California,06003,Alpine,2006,No Events
06,California,06003,Alpine,2007,Suppressed
06,California,06003,Alpine,2008,Suppressed
06,California,06003,Alpine,2009,Suppressed
06,California,06003,Alpine,2010,Suppressed
06,California,06003,Alpine,2011,Suppressed
06,California,06003,Alpine,2012,Suppressed
06,California,06003,Alpine,2013,Suppressed
06,California,06003,Alpine,2014,Suppressed
06,California,06003,Alpine,2015,Suppressed
06,California,06003,Alpine,2016,Suppressed
06,California,06003,Alpine,2017,Suppressed
06,California,06003,Alpine,2018,Suppressed
06,California,06003,Alpine,2019,Suppressed
06,California,06003,Alpine,2020,Suppressed
06,California,06005,Amador,2000,Suppressed
06,California,06005,Amador,2001,Suppressed
06,California,06005,Amador,2002,Suppressed
06,California,06005,Amador,2003,Suppressed
06,California,06005,Amador,2004,Suppressed
06,California,06005,Amador,2005,Suppressed
06,California,06005,Amador,2006,Suppressed
06,California,06005,Amador,2007,Suppressed
06,California,06005,Amador,2008,Suppressed
06,California,06005,Amador,2009,10.00
06,California,06005,Amador,2010,Suppressed
06,California,06005,Amador,2011,Suppressed
06,California,06005,Amador,2012,Suppressed
06,California,06005,Amador,2013,Suppressed
06,California,06005,Amador,2014,Suppressed
06,California,06005,Amador,2015,Suppressed
06,California,06005,Amador,2016,Suppressed
06,California,06005,Amador,2017,Suppressed
06,California,06005,Amador,2018,Suppressed
06,California,06005,Amador,2019,Suppressed
06,California,06005,Amador,2020,10.00
06,California,06007,Butte,2000,81.00
06,California,06007,Butte,2001,94.00
06,California,06007,Butte,2002,111.00
06,California,06007,Butte,2003,102.00
06,California,06007,Butte,2004,91.00
06,California,06007,Butte,2005,111.00
06,California,06007,Butte,2006,117.00
06,California,06007,Butte,2007,132.00
06,California,06007,Butte,2008,104.00
06,California,06007,Butte,2009,115.00
06,California,06007,Butte,2010,101.00
06,California,06007,Butte,2011,97.00
06,California,06007,Butte,2012,105.00
06,California,06007,Butte,2013,112.00
06,California,06007,Butte,2014,115.00
06,California,06007,Butte,2015,120.00
06,California,06007,Butte,2016,105.00
06,California,06007,Butte,2017,105.00
06,California,06007,Butte,2018,103.00
06,California,06007,Butte,2019,110.00
06,California,06007,Butte,2020,88.00
06,California,06009,Calaveras,2000,Suppressed
06,California,06009,Calaveras,2001,Suppressed
06,California,06009,Calaveras,2002,Suppressed
06,California,06009,Calaveras,2003,Suppressed
06,California,06009,Calaveras,2004,Suppressed
06,California,06009,Calaveras,2005,Suppressed
06,California,06009,Calaveras,2006,Suppressed
06,California,06009,Calaveras,2007,Suppressed
06,California,06009,Calaveras,2008,Suppressed
06,California,06009,Calaveras,2009,Suppressed
06,California,06009,Calaveras,2010,Suppressed
06,California,06009,Calaveras,2011,Suppressed
06,California,06009,Calaveras,2012,Suppressed
06,California,06009,Calaveras,2013,Suppressed
06,California,06009,Calaveras,2014,Suppressed
06,California,06009,Calaveras,2015,Suppressed
06,California,06009,Calaveras,2016,Suppressed
06,California,06009,Calaveras,2017,29.00
06,California,06009,Calaveras,2018,Suppressed
06,California,06009,Calaveras,2019,21.00
06,California,06009,Calaveras,2020,Suppressed
06,California,06011,Colusa,2000,Suppressed
06,California,06011,Colusa,2001,Suppressed
06,California,06011,Colusa,2002,Suppressed
06,California,06011,Colusa,2003,Suppressed
06,California,06011,Colusa,2004,Suppressed
06,California,06011,Colusa,2005,Suppressed
06,California,06011,Colusa,2006,Suppressed
06,California,06011,Colusa,2007,Suppressed
06,California,06011,Colusa,2008,Suppressed
06,California,06011,Colusa,2009,Suppressed
06,California,06011,Colusa,2010,Suppressed
06,California,06011,Colusa,2011,Suppressed
06,California,06011,Colusa,2012,Suppressed
06,California,06011,Colusa,2013,Suppressed
06,California,06011,Colusa,2014,Suppressed
06,California,06011,Colusa,2015,Suppressed
06,California,06011,Colusa,2016,Suppressed
06,California,06011,Colusa,2017,Suppressed
06,California,06011,Colusa,2018,Suppressed
06,California,06011,Colusa,2019,Suppressed
06,California,06011,Colusa,2020,Suppressed
06,California,06013,Contra Costa,2000,599.00
06,California,06013,Contra Costa,2001,608.00
06,California,06013,Contra Costa,2002,573.00
06,California,06013,Contra Costa,2003,625.00
06,California,06013,Contra Costa,2004,654.00
06,California,06013,Contra Costa,2005,615.00
06,California,06013,Contra Costa,2006,653.00
06,California,06013,Contra Costa,2007,605.00
06,California,06013,Contra Costa,2008,608.00
06,California,06013,Contra Costa,2009,598.00
06,California,06013,Contra Costa,2010,617.00
06,California,06013,Contra Costa,2011,615.00
06,California,06013,Contra Costa,2012,585.00
06,California,06013,Contra Costa,2013,585.00
06,California,06013,Contra Costa,2014,598.00
06,California,06013,Contra Costa,2015,594.00
06,California,06013,Contra Costa,2016,634.00
06,California,06013,Contra Costa,2017,648.00
06,California,06013,Contra Costa,2018,609.00
06,California,06013,Contra Costa,2019,670.00
06,California,06013,Contra Costa,2020,609.00
06,California,06015,Del Norte,2000,Suppressed
06,California,06015,Del Norte,2001,Suppressed
06,California,06015,Del Norte,2002,Suppressed
06,California,06015,Del Norte,2003,Suppressed
06,California,06015,Del Norte,2004,Suppressed
06,California,06015,Del Norte,2005,Suppressed
06,California,06015,Del Norte,2006,Suppressed
06,California,06015,Del Norte,2007,Suppressed
06,California,06015,Del Norte,2008,Suppressed
06,California,06015,Del Norte,2009,Suppressed
06,California,06015,Del Norte,2010,Suppressed
06,California,06015,Del Norte,2011,Suppressed
06,California,06015,Del Norte,2012,Suppressed
06,California,06015,Del Norte,2013,Suppressed
06,California,06015,Del Norte,2014,Suppressed
06,California,06015,Del Norte,2015,Suppressed
06,California,06015,Del Norte,2016,Suppressed
06,California,06015,Del Norte,2017,Suppressed
06,California,06015,Del Norte,2018,Suppressed
06,California,06015,Del Norte,2019,Suppressed
06,California,06015,Del Norte,2020,Suppressed
06,California,06017,El Dorado,2000,65.00
06,California,06017,El Dorado,2001,66.00
06,California,06017,El Dorado,2002,79.00
06,California,06017,El Dorado,2003,74.00
06,California,06017,El Dorado,2004,84.00
06,California,06017,El Dorado,2005,74.00
06,California,06017,El Dorado,2006,78.00
06,California,06017,El Dorado,2007,77.00
06,California,06017,El Dorado,2008,85.00
06,California,06017,El Dorado,2009,83.00
06,California,06017,El Dorado,2010,76.00
06,California,06017,El Dorado,2011,66.00
06,California,06017,El Dorado,2012,62.00
06,California,06017,El Dorado,2013,69.00
06,California,06017,El Dorado,2014,68.00
06,California,06017,El Dorado,2015,83.00
06,California,06017,El Dorado,2016,81.00
06,California,06017,El Dorado,2017,87.00
06,California,06017,El Dorado,2018,74.00
06,California,06017,El Dorado,2019,66.00
06,California,06017,El Dorado,2020,75.00
06,California,06019,Fresno,2000,755.00
06,California,06019,Fresno,2001,776.00
06,California,06019,Fresno,2002,782.00
06,California,06019,Fresno,2003,880.00
06,California,06019,Fresno,2004,886.00
06,California,06019,Fresno,2005,864.00
06,California,06019,Fresno,2006,941.00
06,California,06019,Fresno,2007,1020.00
06,California,06019,Fresno,2008,1064.00
06,California,06019,Fresno,2009,953.00
06,California,06019,Fresno,2010,976.00
06,California,06019,Fresno,2011,981.00
06,California,06019,Fresno,2012,990.00
06,California,06019,Fresno,2013,968.00
06,California,06019,Fresno,2014,989.00
06,California,06019,Fresno,2015,916.00
06,California,06019,Fresno,2016,837.00
06,California,06019,Fresno,2017,792.00
06,California,06019,Fresno,2018,852.00
06,California,06019,Fresno,2019,896.00
06,California,06019,Fresno,2020,807.00
06,California,06021,Glenn,2000,Suppressed
06,California,06021,Glenn,2001,Suppressed
06,California,06021,Glenn,2002,Suppressed
06,California,06021,Glenn,2003,Suppressed
06,California,06021,Glenn,2004,Suppressed
06,California,06021,Glenn,2005,Suppressed
06,California,06021,Glenn,2006,Suppressed
06,California,06021,Glenn,2007,Suppressed
06,California,06021,Glenn,2008,Suppressed
06,California,06021,Glenn,2009,Suppressed
06,California,06021,Glenn,2010,Suppressed
06,California,06021,Glenn,2011,20.00
06,California,06021,Glenn,2012,Suppressed
06,California,06021,Glenn,2013,31.00
06,California,06021,Glenn,2014,23.00
06,California,06021,Glenn,2015,Suppressed
06,California,06021,Glenn,2016,Suppressed
06,California,06021,Glenn,2017,20.00
06,California,06021,Glenn,2018,Suppressed
06,California,06021,Glenn,2019,Suppressed
06,California,06021,Glenn,2020,Suppressed
06,California,06023,Humboldt,2000,53.00
06,California,06023,Humboldt,2001,57.00
06,California,06023,Humboldt,2002,57.00
