UNIT,YEAR,ACRES BURNED
San Bernardino,2009,945
Stanislaus,2009,570
Riverside,2009,500
Tulare,2009,495
San Joaquin,2009,"2,163"
Calaveras,2009,410
Yolo,2009,716
Placer,2009,650
Madera,2009,300
Shasta,2009,"6,895"
Shasta,2009,50
Shasta,2009,"3,918"
Shasta,2009,404
Shasta,2009,"6,319"
Santa Cruz,2009,"7,817"
Trinity,2009,"1,300"
San Joaquin,2009,"12,200"
Yuba,2009,"3,891"
Monterey,2009,"3,383"
Monterey,2009,"6,437"
Lassen,2009,853
Santa Clara,2009,"1,600"
San Bernardino,2009,"1,159"
Placer,2009,311
Lake,2009,"1,500"
Riverside,2009,398
Santa Cruz,2009,485
San Luis Obispo,2009,600
