"StateFIPS","State","CountyFIPS","County","Year","Value"
6,"California",6001,"Alameda",2005,11.8
6,"California",6003,"Alpine",2005,16.6
6,"California",6005,"Amador",2005,10
6,"California",6007,"Butte",2005,19.2
6,"California",6009,"Calaveras",2005,10.5
6,"California",6011,"Colusa",2005,14.2
6,"California",6013,"Contra Costa",2005,8.1
6,"California",6015,"Del Norte",2005,22.5
6,"California",6017,"El Dorado",2005,7.4
6,"California",6019,"Fresno",2005,20.8
6,"California",6021,"Glenn",2005,17.5
6,"California",6023,"Humboldt",2005,16.5
6,"California",6025,"Imperial",2005,21.3
6,"California",6027,"Inyo",2005,11.6
6,"California",6029,"Kern",2005,20.8
6,"California",6031,"Kings",2005,20.6
6,"California",6033,"Lake",2005,18.3
6,"California",6035,"Lassen",2005,16.9
6,"California",6037,"Los Angeles",2005,16.2
6,"California",6039,"Madera",2005,18.3
6,"California",6041,"Marin",2005,6.5
6,"California",6043,"Mariposa",2005,12.7
6,"California",6045,"Mendocino",2005,17
6,"California",6047,"Merced",2005,18.6
6,"California",6049,"Modoc",2005,20.4
6,"California",6051,"Mono",2005,9.3
6,"California",6053,"Monterey",2005,14.1
6,"California",6055,"Napa",2005,7.5
6,"California",6057,"Nevada",2005,7.5
6,"California",6059,"Orange",2005,8.9
6,"California",6061,"Placer",2005,5.6
6,"California",6063,"Plumas",2005,11.6
6,"California",6065,"Riverside",2005,11.5
6,"California",6067,"Sacramento",2005,13.6
6,"California",6069,"San Benito",2005,10.1
6,"California",6071,"San Bernardino",2005,15
6,"California",6073,"San Diego",2005,11
6,"California",6075,"San Francisco",2005,12.2
6,"California",6077,"San Joaquin",2005,14.7
6,"California",6079,"San Luis Obispo",2005,13.5
6,"California",6081,"San Mateo",2005,6.9
6,"California",6083,"Santa Barbara",2005,12.7
6,"California",6085,"Santa Clara",2005,8.4
6,"California",6087,"Santa Cruz",2005,11.8
6,"California",6089,"Shasta",2005,13.8
6,"California",6091,"Sierra",2005,10.7
6,"California",6093,"Siskiyou",2005,17.5
6,"California",6095,"Solano",2005,9.2
6,"California",6097,"Sonoma",2005,8.9
6,"California",6099,"Stanislaus",2005,14.5
6,"California",6101,"Sutter",2005,11.9
6,"California",6103,"Tehama",2005,17.8
6,"California",6105,"Trinity",2005,16
6,"California",6107,"Tulare",2005,23.2
6,"California",6109,"Tuolumne",2005,12.2
6,"California",6111,"Ventura",2005,9.7
6,"California",6113,"Yolo",2005,15.2
6,"California",6115,"Yuba",2005,17.1
6,"California",6001,"Alameda",2006,11.1
6,"California",6003,"Alpine",2006,16.4
6,"California",6005,"Amador",2006,9
6,"California",6007,"Butte",2006,16.7
6,"California",6009,"Calaveras",2006,10.8
6,"California",6011,"Colusa",2006,13.7
6,"California",6013,"Contra Costa",2006,7.9
6,"California",6015,"Del Norte",2006,21.8
6,"California",6017,"El Dorado",2006,7.6
6,"California",6019,"Fresno",2006,20.8
6,"California",6021,"Glenn",2006,17.8
6,"California",6023,"Humboldt",2006,18
6,"California",6025,"Imperial",2006,19.4
6,"California",6027,"Inyo",2006,11.5
6,"California",6029,"Kern",2006,20.5
6,"California",6031,"Kings",2006,21.3
6,"California",6033,"Lake",2006,17.1
6,"California",6035,"Lassen",2006,15.6
6,"California",6037,"Los Angeles",2006,15.4
6,"California",6039,"Madera",2006,21.1
6,"California",6041,"Marin",2006,8.3
6,"California",6043,"Mariposa",2006,13.4
6,"California",6045,"Mendocino",2006,16.8
6,"California",6047,"Merced",2006,20.7
6,"California",6049,"Modoc",2006,18.7
6,"California",6051,"Mono",2006,9.7
6,"California",6053,"Monterey",2006,11.6
6,"California",6055,"Napa",2006,10.3
6,"California",6057,"Nevada",2006,7.9
6,"California",6059,"Orange",2006,9.8
6,"California",6061,"Placer",2006,5.7
6,"California",6063,"Plumas",2006,10.8
6,"California",6065,"Riverside",2006,12.2
6,"California",6067,"Sacramento",2006,12.1
6,"California",6069,"San Benito",2006,9.6
6,"California",6071,"San Bernardino",2006,13.8
6,"California",6073,"San Diego",2006,11.7
6,"California",6075,"San Francisco",2006,12.1
6,"California",6077,"San Joaquin",2006,14.4
6,"California",6079,"San Luis Obispo",2006,13.1
6,"California",6081,"San Mateo",2006,7.2
6,"California",6083,"Santa Barbara",2006,15.8
6,"California",6085,"Santa Clara",2006,9
6,"California",6087,"Santa Cruz",2006,11.9
6,"California",6089,"Shasta",2006,16.7
6,"California",6091,"Sierra",2006,11.4
6,"California",6093,"Siskiyou",2006,17.6
6,"California",6095,"Solano",2006,10.4
6,"California",6097,"Sonoma",2006,9.6
6,"California",6099,"Stanislaus",2006,14.4
6,"California",6101,"Sutter",2006,13.3
6,"California",6103,"Tehama",2006,17.6
6,"California",6105,"Trinity",2006,16.6
6,"California",6107,"Tulare",2006,21.6
6,"California",6109,"Tuolumne",2006,11.4
6,"California",6111,"Ventura",2006,9
6,"California",6113,"Yolo",2006,16.9
6,"California",6115,"Yuba",2006,19
6,"California",6001,"Alameda",2007,11
6,"California",6003,"Alpine",2007,15.9
6,"California",6005,"Amador",2007,10.1
6,"California",6007,"Butte",2007,17.1
6,"California",6009,"Calaveras",2007,10.3
6,"California",6011,"Colusa",2007,12.7
6,"California",6013,"Contra Costa",2007,8.7
6,"California",6015,"Del Norte",2007,22.3
6,"California",6017,"El Dorado",2007,8.2
6,"California",6019,"Fresno",2007,20
6,"California",6021,"Glenn",2007,15.8
6,"California",6023,"Humboldt",2007,16.9
6,"California",6025,"Imperial",2007,21
6,"California",6027,"Inyo",2007,11.4
6,"California",6029,"Kern",2007,18.1
6,"California",6031,"Kings",2007,17.2
6,"California",6033,"Lake",2007,16.4
6,"California",6035,"Lassen",2007,17.2
6,"California",6037,"Los Angeles",2007,14.6
6,"California",6039,"Madera",2007,16.9
6,"California",6041,"Marin",2007,6.8
6,"California",6043,"Mariposa",2007,12.5
6,"California",6045,"Mendocino",2007,15.4
6,"California",6047,"Merced",2007,19.3
6,"California",6049,"Modoc",2007,19.6
6,"California",6051,"Mono",2007,9.6
6,"California",6053,"Monterey",2007,12.1
6,"California",6055,"Napa",2007,8.6
6,"California",6057,"Nevada",2007,8.8
6,"California",6059,"Orange",2007,8.9
6,"California",6061,"Placer",2007,6
6,"California",6063,"Plumas",2007,11.5
6,"California",6065,"Riverside",2007,11.7
6,"California",6067,"Sacramento",2007,12.2
6,"California",6069,"San Benito",2007,11.7
6,"California",6071,"San Bernardino",2007,12.1
6,"California",6073,"San Diego",2007,11.1
6,"California",6075,"San Francisco",2007,10.6
6,"California",6077,"San Joaquin",2007,14.2
6,"California",6079,"San Luis Obispo",2007,11.5
6,"California",6081,"San Mateo",2007,6
6,"California",6083,"Santa Barbara",2007,12.2
6,"California",6085,"Santa Clara",2007,8.3
6,"California",6087,"Santa Cruz",2007,10.6
6,"California",6089,"Shasta",2007,13.4
6,"California",6091,"Sierra",2007,11.7
6,"California",6093,"Siskiyou",2007,17.7
6,"California",6095,"Solano",2007,9.6
6,"California",6097,"Sonoma",2007,8.9
6,"California",6099,"Stanislaus",2007,13.6
6,"California",6101,"Sutter",2007,12.2
6,"California",6103,"Tehama",2007,19.3
6,"California",6105,"Trinity",2007,17
6,"California",6107,"Tulare",2007,23.2
6,"California",6109,"Tuolumne",2007,12.5
